"County","State","Population.Population Percent Change","Population.2020 Population","Population.2010 Population","Age.Percent Under 5 Years","Age.Percent Under 18 Years","Age.Percent 65 and Older","Miscellaneous.Percent Female","Ethnicities.White Alone","Ethnicities.Black Alone","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.Hispanic or Latino","Ethnicities.White Alone, not Hispanic or Latino","Miscellaneous.Veterans","Miscellaneous.Foreign Born","Housing.Housing Units","Housing.Homeownership Rate","Housing.Median Value of Owner-Occupied Units","Housing.Households","Housing.Persons per Household","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Language Other than English at Home","Education.High School or Higher","Education.Bachelor's Degree or Higher","Sales.Accommodation and Food Services Sales","Miscellaneous.Manufacturers Shipments","Sales.Retail Sales","Miscellaneous.Mean Travel Time to Work","Income.Median Houseold Income","Income.Per Capita Income","Employment.Nonemployer Establishments","Employment.Firms.Total","Employment.Firms.Men-Owned","Employment.Firms.Women-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned","Population.Population per Square Mile","Miscellaneous.Land Area"
"Aleutians East Borough","AK","7","3360","3141","2.8","10.1","6.6","30.9","22.8","12","20.5","40.7","0.6","3.4","13.2","11.5","99","56.6","747","54.7","118500","435","2.46","-1","-1","78.5","12","-1","-1","-1","-1","61250","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.4","655.12"
"Aleutians West Census Area","AK","3.4","5750","5561","3.6","12.3","5.4","32.4","37.8","7.6","13","34.5","2.3","4.7","14.1","26.9","354","34.9","1932","36.4","218400","1033","3.52","-1","-1","82.7","13.3","-1","-1","-1","-1","81853","-1","-1","-1","-1","-1","-1","-1","-1","-1","1.3","449.5"
"Anchorage Municipality","AK","3.1","301010","291826","7.4","24.9","8.9","48.6","66.1","6.3","8.2","9.2","2.4","7.8","8.9","59.7","30292","9.4","114332","60.6","282800","105208","2.73","-1","-1","92.5","32.8","-1","-1","-1","-1","77454","-1","-1","-1","-1","-1","-1","-1","-1","-1","171.2","1052.58"
"Bethel Census Area","AK","5","17868","17013","11.1","36.1","6.6","48.3","12.1","0.8","81.7","1.1","0.2","4.1","1.8","11.5","909","1.2","5920","64.2","189600","4358","3.9","-1","-1","79.5","11.7","-1","-1","-1","-1","51689","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.4","569.27"
"Bristol Bay Borough","AK","-4","957","997","5.2","20.1","9.7","44.3","46.1","0","35.2","1","0.3","17.3","4.3","44.1","91","0.6","965","57.3","175000","384","2.42","-1","-1","91.7","19.4","-1","-1","-1","-1","79531","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","405.28"
"Denali Borough","AK","5.2","1921","1826","4.7","18.8","8.5","45.6","86","1.8","3.7","3.6","0.1","4.8","3.7","82.7","198","7.4","1760","68.9","192500","716","2.26","-1","-1","88.8","28.1","-1","-1","-1","-1","72500","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.1","567.32"
"Dillingham Census Area","AK","2.9","4988","4847","11","31.9","7.9","48.6","18.7","0.7","70.4","0.9","0.2","9.1","3.1","17.6","214","1.5","2422","57.8","194000","1339","3.59","-1","-1","83.7","17.8","-1","-1","-1","-1","54150","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.3","573.48"
"Fairbanks North Star Borough","AK","1.8","99357","97581","7.7","24.1","8","45.9","77.3","5.4","7.3","3.1","0.5","6.3","7.7","71.3","11048","5.7","41684","59.2","212500","35588","2.67","-1","-1","93.1","29","-1","-1","-1","-1","69223","-1","-1","-1","-1","-1","-1","-1","-1","-1","13.3","1167.65"
"Haines Borough","AK","2.3","2566","2508","3.7","19.1","16.8","51","79.1","0.7","10.4","1.1","0","8.8","2.5","77.5","282","5","1639","64.2","171900","1245","2.01","-1","-1","96.4","30.1","-1","-1","-1","-1","52866","-1","-1","-1","-1","-1","-1","-1","-1","-1","1.1","423.44"
"Hoonah-Angoon Census Area","AK","-3.1","2082","2150","5.2","19.4","16.5","46.5","48.8","0.6","39.5","0.7","0.1","10.3","5.1","47.2","172","3","1755","63.4","200500","930","2.23","-1","-1","88.4","26.9","-1","-1","-1","-1","49545","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.3","1363.06"
"Juneau City and Borough","AK","3.6","32406","31275","5.9","22.1","10.6","48.8","69.9","1.6","11.9","6.2","1.1","9.3","6.5","65.5","2739","6.5","13207","64.5","309900","12099","2.58","-1","-1","95.5","36.7","-1","-1","-1","-1","81490","-1","-1","-1","-1","-1","-1","-1","-1","-1","11.6","855.2"
"Kenai Peninsula Borough","AK","3.7","57477","55400","6.4","23.1","14.2","47.6","84.5","0.8","7.3","1.4","0.3","5.7","4","81.4","6137","2.6","30698","72.7","204900","21720","2.5","-1","-1","92.8","23.7","-1","-1","-1","-1","61793","-1","-1","-1","-1","-1","-1","-1","-1","-1","3.4","339.03"
"Ketchikan Gateway Borough","AK","2.3","13787","13477","6.5","22.8","12.5","47.9","68.4","0.9","13.8","7.5","0.2","9.1","4.9","65.2","1421","7.3","6239","58.5","265600","5295","2.5","-1","-1","93.5","25.4","-1","-1","-1","-1","62519","-1","-1","-1","-1","-1","-1","-1","-1","-1","2.8","462.41"
