"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Aleutians East Borough","AK","6.6","10.1","2.8","12","78.5","-1","20.5","40.7","12","13.2","0.6","3.4","22.8","11.5","54.7","435","747","118500","2.46","61250","-1","56.6","655.12","-1","-1","-1","-1","30.9","99","3360","3141","0.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Aleutians West Census Area","AK","5.4","12.3","3.6","13.3","82.7","-1","13","34.5","7.6","14.1","2.3","4.7","37.8","26.9","36.4","1033","1932","218400","3.52","81853","-1","34.9","449.5","-1","-1","-1","-1","32.4","354","5750","5561","1.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Anchorage Municipality","AK","8.9","24.9","7.4","32.8","92.5","-1","8.2","9.2","6.3","8.9","2.4","7.8","66.1","59.7","60.6","105208","114332","282800","2.73","77454","-1","9.4","1052.58","-1","-1","-1","-1","48.6","30292","301010","291826","171.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Bethel Census Area","AK","6.6","36.1","11.1","11.7","79.5","-1","81.7","1.1","0.8","1.8","0.2","4.1","12.1","11.5","64.2","4358","5920","189600","3.9","51689","-1","1.2","569.27","-1","-1","-1","-1","48.3","909","17868","17013","0.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Bristol Bay Borough","AK","9.7","20.1","5.2","19.4","91.7","-1","35.2","1","0","4.3","0.3","17.3","46.1","44.1","57.3","384","965","175000","2.42","79531","-1","0.6","405.28","-1","-1","-1","-1","44.3","91","957","997","2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Denali Borough","AK","8.5","18.8","4.7","28.1","88.8","-1","3.7","3.6","1.8","3.7","0.1","4.8","86","82.7","68.9","716","1760","192500","2.26","72500","-1","7.4","567.32","-1","-1","-1","-1","45.6","198","1921","1826","0.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Dillingham Census Area","AK","7.9","31.9","11","17.8","83.7","-1","70.4","0.9","0.7","3.1","0.2","9.1","18.7","17.6","57.8","1339","2422","194000","3.59","54150","-1","1.5","573.48","-1","-1","-1","-1","48.6","214","4988","4847","0.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Fairbanks North Star Borough","AK","8","24.1","7.7","29","93.1","-1","7.3","3.1","5.4","7.7","0.5","6.3","77.3","71.3","59.2","35588","41684","212500","2.67","69223","-1","5.7","1167.65","-1","-1","-1","-1","45.9","11048","99357","97581","13.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Haines Borough","AK","16.8","19.1","3.7","30.1","96.4","-1","10.4","1.1","0.7","2.5","0","8.8","79.1","77.5","64.2","1245","1639","171900","2.01","52866","-1","5","423.44","-1","-1","-1","-1","51","282","2566","2508","1.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Hoonah-Angoon Census Area","AK","16.5","19.4","5.2","26.9","88.4","-1","39.5","0.7","0.6","5.1","0.1","10.3","48.8","47.2","63.4","930","1755","200500","2.23","49545","-1","3","1363.06","-1","-1","-1","-1","46.5","172","2082","2150","0.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Juneau City and Borough","AK","10.6","22.1","5.9","36.7","95.5","-1","11.9","6.2","1.6","6.5","1.1","9.3","69.9","65.5","64.5","12099","13207","309900","2.58","81490","-1","6.5","855.2","-1","-1","-1","-1","48.8","2739","32406","31275","11.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Kenai Peninsula Borough","AK","14.2","23.1","6.4","23.7","92.8","-1","7.3","1.4","0.8","4","0.3","5.7","84.5","81.4","72.7","21720","30698","204900","2.5","61793","-1","2.6","339.03","-1","-1","-1","-1","47.6","6137","57477","55400","3.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Ketchikan Gateway Borough","AK","12.5","22.8","6.5","25.4","93.5","-1","13.8","7.5","0.9","4.9","0.2","9.1","68.4","65.2","58.5","5295","6239","265600","2.5","62519","-1","7.3","462.41","-1","-1","-1","-1","47.9","1421","13787","13477","2.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Kodiak Island Borough","AK","8.6","26","8","20","89.6","-1","13","20.7","1.5","8.7","0.9","6.7","57.2","50.8","56.9","4501","5327","224500","2.97","68718","-1","14.2","563.27","-1","-1","-1","-1","46.2","1097","13986","13592","2.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
